ID,TrophicSpecies,FunctionalGroup,TotalDegree,NumPrey,NumPred,Between,Close,TL,Omn,meanTrophicSimil,TopRole,Habitat
364,Quetzogonium_dentatum,Isopoda,1,1,0,0,9.233610341643582e-4,2,0,0.1793132832820471,modspe,NA
365,Rectarcturus_kophameli,Isopoda,1,1,0,0,9.233610341643582e-4,2,0,0.1793132832820471,modspe,NA
366,Rectarcturus_tuberculatus,Isopoda,1,1,0,0,9.233610341643582e-4,2,0,0.1793132832820471,modspe,NA
367,Santia_compacta,Isopoda,1,1,0,0,9.233610341643582e-4,2,0,0.1793132832820471,modspe,NA
368,Seba_subantarctica,Amphipoda,1,1,0,0,6.63129973474801e-4,3.25,0,0.0032030306081353203,modspe,NA
369,Spheniscus_magellanicus,SeaBirds,8,8,0,0,8.920606601248885e-4,3.631,1.065,0.03769770565509116,modspe,Land-based
370,Sporonana_sp,Isopoda,1,1,0,0,9.233610341643582e-4,2,0,0.1793132832820471,modspe,NA
371,Squalus_acanthias,Fish_Chond,1,1,0,0,7.283321194464676e-4,4.524,0,0.009461943835657906,modspe,NA
372,Stenothoidae,Amphipoda,1,1,0,0,9.233610341643582e-4,2,0,0.1793132832820471,modspe,NA
373,Tasmacetus_shepherdi,MarineMammals_3,3,3,0,0,7.961783439490446e-4,4.672,0.039,0.03742744330950011,modspe,Pelagic
374,Tectonatica_impervia,Gastropoda,4,4,0,0,8.257638315441783e-4,3,0,0.01960289902582788,modspe,Benthic
375,Tetrazona_glareosa,Ascidiacea,10,10,0,0,0.0010416666666666667,2.1,0.09,0.09995122483465547,modspe,Benthic
376,Thalassarche_chrysostoma,SeaBirds,16,16,0,0,0.0010070493454179255,4.092,0.865,0.041592964711041895,modspe,Land-based
377,Thalassarche_melanophris,SeaBirds,22,22,0,0,0.0010330578512396695,3.828,0.98,0.04272808798111377,modspe,Land-based
378,Travisia_kerguelensis,Polychaeta,2,2,0,0,9.699321047526673e-4,2.5,0.25,0.12675315199180784,modspe,Benthic
379,Tryphosites_chevreuxi,Amphipoda,1,1,0,0,8.110300081103001e-4,4.072,0,0.010922906356145321,modspe,NA
380,Uromunna_nana,Isopoda,1,1,0,0,9.233610341643582e-4,2,0,0.1793132832820471,modspe,NA
381,Uromunna_sp,Isopoda,1,1,0,0,9.233610341643582e-4,2,0,0.1793132832820471,modspe,NA
382,Ziphius_cavirostris,MarineMammals_3,4,4,0,0,8e-4,4.688,0.03,0.036911522149902565,modspe,Pelagic
